날짜,클릭수,전환수,기타비용,광고비,리워드비용,매체수익,전환율,클릭당비용,전환당비용,수익률
2025-01-01,17408,2786,994735,1058443,734012,739883,16.0,61.0,380.0,69.9
2025-01-02,85994,28793,5965048,6007222,3842790,4287841,33.48,70.0,209.0,71.38
2025-01-03,99779,33361,6458117,6494903,4285555,4581081,33.43,65.0,195.0,70.53
2025-01-04,100426,32046,5757950,5801526,3935802,4215936,31.91,58.0,181.0,72.67
2025-01-05,122833,30881,5589115,5610973,3796656,4053501,25.14,46.0,182.0,72.24
2025-01-06,113965,31922,5396048,5424512,3780678,4025143,28.01,48.0,170.0,74.2
2025-01-07,101069,37329,4833421,4859748,3569525,3620277,36.93,48.0,130.0,74.5
2025-01-08,114280,46466,6413456,6465420,4453944,4746377,40.66,57.0,139.0,73.41
2025-01-09,109917,45389,6230230,6275045,4303884,4437338,41.29,57.0,138.0,70.71
2025-01-10,116475,48562,7527144,7557617,5317133,5437110,41.69,65.0,156.0,71.94
2025-01-11,89035,35799,5841495,5860926,3828852,3992473,40.21,66.0,164.0,68.12
2025-01-12,87399,35553,6068562,6086754,4031500,4181033,40.68,70.0,171.0,68.69
2025-01-13,73486,31881,5243943,5282805,3552760,3698821,43.38,72.0,166.0,70.02
2025-01-14,214026,119666,23725888,23772456,17572396,17842658,55.91,111.0,199.0,75.06
2025-01-15,200825,113070,21478676,21520441,15368689,15717217,56.3,107.0,190.0,73.03
2025-01-16,335726,192855,38742509,38803179,30820845,31113264,57.44,116.0,201.0,80.18
2025-01-17,340688,188964,37907171,37950558,31467455,31628864,55.47,111.0,201.0,83.34
2025-01-18,196539,96472,17683472,17707401,14365682,14468380,49.09,90.0,184.0,81.71
2025-01-19,185424,88996,15619721,15665160,12933626,13029768,48.0,84.0,176.0,83.18
2025-01-20,158432,74703,13930542,14005834,11702743,11811854,47.15,88.0,187.0,84.34
2025-01-21,161035,72326,14475805,14533995,11544878,11660715,44.91,90.0,201.0,80.23
2025-01-22,148104,64665,12153339,12208232,9732632,9817008,43.66,82.0,189.0,80.41
2025-01-23,138313,60542,12145956,12191105,9730709,9825838,43.77,88.0,201.0,80.6
2025-01-24,212614,94513,18565037,18600018,15257813,15355666,44.45,87.0,197.0,82.56
2025-01-25,198745,81466,16199597,16240385,13453576,13576731,40.99,82.0,199.0,83.6
2025-01-26,178207,73643,14880008,14945989,12274018,12399571,41.32,84.0,203.0,82.96
2025-01-27,144888,59426,12261497,12320130,10087599,10195388,41.02,85.0,207.0,82.75
